"kanji","hiragana","pos","korean_meaning","question_type","difficulty"
"教室","きょうしつ","n","교실","meaning_to_japanese","2"
"教室","きょうしつ","n","교실","japanese_to_meaning","2"
"兄弟","きょうだい","n","형제","reading","2"
"兄弟","きょうだい","n","형제","meaning_to_japanese","2"
"兄弟","きょうだい","n","형제","japanese_to_meaning","2"
"去年","きょねん","n","작년","reading","2"
"去年","きょねん","n","작년","meaning_to_japanese","2"
"去年","きょねん","n","작년","japanese_to_meaning","2"
"嫌い","きらい","na-adj","싫은","reading","2"
"嫌い","きらい","na-adj","싫은","meaning_to_japanese","2"
"嫌い","きらい","na-adj","싫은","japanese_to_meaning","2"
"切る","きる","v","자르다","reading","2"
"切る","きる","v","자르다","meaning_to_japanese","2"
"切る","きる","v","자르다","japanese_to_meaning","2"
"着る","きる","v","입다","reading","2"
"着る","きる","v","입다","meaning_to_japanese","2"
"着る","きる","v","입다","japanese_to_meaning","2"
"きれい","","na-adj","아름답다, 깨끗하다","meaning_to_japanese","3"
"きれい","","na-adj","아름답다, 깨끗하다","japanese_to_meaning","3"
"記録","きろく","n/v","기록","reading","2"
"記録","きろく","n/v","기록","meaning_to_japanese","2"
"記録","きろく","n/v","기록","japanese_to_meaning","2"
"銀行","ぎんこう","n","은행","reading","2"
"銀行","ぎんこう","n","은행","meaning_to_japanese","2"
"銀行","ぎんこう","n","은행","japanese_to_meaning","2"
"緊張","きんちょう","n/v","긴장","reading","2"
"緊張","きんちょう","n/v","긴장","meaning_to_japanese","2"
"緊張","きんちょう","n/v","긴장","japanese_to_meaning","2"
"金曜日","きんようび","n","금요일","reading","2"
"金曜日","きんようび","n","금요일","meaning_to_japanese","2"
"金曜日","きんようび","n","금요일","japanese_to_meaning","2"
"区","く","n","구","reading","1"
"区","く","n","구","meaning_to_japanese","1"
"区","く","n","구","japanese_to_meaning","1"
"空気","くうき","n","공기","reading","2"
"空気","くうき","n","공기","meaning_to_japanese","2"
"空気","くうき","n","공기","japanese_to_meaning","2"
"空港","くうこう","n","공항","reading","2"
"空港","くうこう","n","공항","meaning_to_japanese","2"
"空港","くうこう","n","공항","japanese_to_meaning","2"
"区別","くべつ","n/v","구별","reading","2"
"区別","くべつ","n/v","구별","meaning_to_japanese","2"
"区別","くべつ","n/v","구별","japanese_to_meaning","2"
"首","くび","n","목","reading","1"
"首","くび","n","목","meaning_to_japanese","1"
"首","くび","n","목","japanese_to_meaning","1"
"比べる","くらべる","v","비교하다","reading","3"
"比べる","くらべる","v","비교하다","meaning_to_japanese","3"
"比べる","くらべる","v","비교하다","japanese_to_meaning","3"
"暮らし","くらし","n","생활","reading","2"
"暮らし","くらし","n","생활","meaning_to_japanese","2"
"暮らし","くらし","n","생활","japanese_to_meaning","2"
"暮らす","くらす","v","살다","reading","3"
"暮らす","くらす","v","살다","meaning_to_japanese","3"
"暮らす","くらす","v","살다","japanese_to_meaning","3"
"クラス","","n","클래스, 반","meaning_to_japanese","2"
"クラス","","n","클래스, 반","japanese_to_meaning","2"
"苦しい","くるしい","i-adj","고통스럽다","reading","2"
"苦しい","くるしい","i-adj","고통스럽다","meaning_to_japanese","2"
"苦しい","くるしい","i-adj","고통스럽다","japanese_to_meaning","2"
"苦しむ","くるしむ","v","고통받다","reading","3"
"苦しむ","くるしむ","v","고통받다","meaning_to_japanese","3"
"苦しむ","くるしむ","v","고통받다","japanese_to_meaning","3"
"車","くるま","n","차","reading","1"
"車","くるま","n","차","meaning_to_japanese","1"
"車","くるま","n","차","japanese_to_meaning","1"
"来る","くる","v","오다","reading","2"
"来る","くる","v","오다","meaning_to_japanese","2"
"来る","くる","v","오다","japanese_to_meaning","2"
"果物","くだもの","n","과일","reading","2"
"果物","くだもの","n","과일","meaning_to_japanese","2"
"果物","くだもの","n","과일","japanese_to_meaning","2"
"口","くち","n","입","reading","1"
"口","くち","n","입","meaning_to_japanese","1"
"口","くち","n","입","japanese_to_meaning","1"
"靴","くつ","n","신발","reading","1"
"靴","くつ","n","신발","meaning_to_japanese","1"
"靴","くつ","n","신발","japanese_to_meaning","1"
"靴下","くつした","n","양말","reading","2"
"靴下","くつした","n","양말","meaning_to_japanese","2"
"靴下","くつした","n","양말","japanese_to_meaning","2"
"国","くに","n","나라","reading","1"
"国","くに","n","나라","meaning_to_japanese","1"
"国","くに","n","나라","japanese_to_meaning","1"
"雲","くも","n","구름","reading","1"
"雲","くも","n","구름","meaning_to_japanese","1"
"雲","くも","n","구름","japanese_to_meaning","1"
"曇り","くもり","n","흐림","reading","2"
"曇り","くもり","n","흐림","meaning_to_japanese","2"
"曇り","くもり","n","흐림","japanese_to_meaning","2"
"暗い","くらい","i-adj","어둡다","reading","2"
"暗い","くらい","i-adj","어둡다","meaning_to_japanese","2"
"暗い","くらい","i-adj","어둡다","japanese_to_meaning","2"
"黒","くろ","n","검은색","reading","1"
"黒","くろ","n","검은색","meaning_to_japanese","1"
"黒","くろ","n","검은색","japanese_to_meaning","1"
"黒い","くろい","i-adj","검다","reading","2"
"黒い","くろい","i-adj","검다","meaning_to_japanese","2"
"黒い","くろい","i-adj","검다","japanese_to_meaning","2"
"経験","けいけん","n/v","경험","reading","2"
"経験","けいけん","n/v","경험","meaning_to_japanese","2"
"経験","けいけん","n/v","경험","japanese_to_meaning","2"
"計画","けいかく","n/v","계획","reading","2"
"計画","けいかく","n/v","계획","meaning_to_japanese","2"
"計画","けいかく","n/v","계획","japanese_to_meaning","2"
"警察","けいさつ","n","경찰","reading","2"
"警察","けいさつ","n","경찰","meaning_to_japanese","2"
"警察","けいさつ","n","경찰","japanese_to_meaning","2"
"経済","けいざい","n","경제","reading","2"
"経済","けいざい","n","경제","meaning_to_japanese","2"
"経済","けいざい","n","경제","japanese_to_meaning","2"
"怪我","けが","n","부상","reading","2"
"怪我","けが","n","부상","meaning_to_japanese","2"
"怪我","けが","n","부상","japanese_to_meaning","2"
"景色","けしき","n","경치","reading","2"
"景色","けしき","n","경치","meaning_to_japanese","2"
"景色","けしき","n","경치","japanese_to_meaning","2"
"化粧","けしょう","n/v","화장","reading","2"
"化粧","けしょう","n/v","화장","meaning_to_japanese","2"
"化粧","けしょう","n/v","화장","japanese_to_meaning","2"
"決して","けっして","adv","결코","reading","3"
"決して","けっして","adv","결코","meaning_to_japanese","3"
"決して","けっして","adv","결코","japanese_to_meaning","3"
"結構","けっこう","na-adj/adv","충분한","reading","2"
"結構","けっこう","na-adj/adv","충분한","meaning_to_japanese","2"
"結構","けっこう","na-adj/adv","충분한","japanese_to_meaning","2"
"結婚","けっこん","n/v","결혼","reading","2"
"結婚","けっこん","n/v","결혼","meaning_to_japanese","2"
"結婚","けっこん","n/v","결혼","japanese_to_meaning","2"
"結果","けっか","n","결과","reading","2"
"結果","けっか","n","결과","meaning_to_japanese","2"
"結果","けっか","n","결과","japanese_to_meaning","2"
"月曜日","げつようび","n","월요일","reading","2"
"月曜日","げつようび","n","월요일","meaning_to_japanese","2"
"月曜日","げつようび","n","월요일","japanese_to_meaning","2"
"煙","けむり","n","연기","reading","1"
"煙","けむり","n","연기","meaning_to_japanese","1"
"煙","けむり","n","연기","japanese_to_meaning","1"
"元気","げんき","na-adj","건강한, 기운찬","reading","2"
"元気","げんき","na-adj","건강한, 기운찬","meaning_to_japanese","2"
"元気","げんき","na-adj","건강한, 기운찬","japanese_to_meaning","2"
"現金","げんきん","n","현금","reading","2"
"現金","げんきん","n","현금","meaning_to_japanese","2"
"現金","げんきん","n","현금","japanese_to_meaning","2"
"玄関","げんかん","n","현관","reading","2"
"玄関","げんかん","n","현관","meaning_to_japanese","2"
"玄関","げんかん","n","현관","japanese_to_meaning","2"
"原因","げんいん","n","원인","reading","2"
"原因","げんいん","n","원인","meaning_to_japanese","2"
"原因","げんいん","n","원인","japanese_to_meaning","2"
"研究","けんきゅう","n/v","연구","reading","2"
"研究","けんきゅう","n/v","연구","meaning_to_japanese","2"
"研究","けんきゅう","n/v","연구","japanese_to_meaning","2"
"見学","けんがく","n/v","견학","reading","2"
"見学","けんがく","n/v","견학","meaning_to_japanese","2"
"見学","けんがく","n/v","견학","japanese_to_meaning","2"
"健康","けんこう","na-adj/n","건강","reading","2"
"健康","けんこう","na-adj/n","건강","meaning_to_japanese","2"
"健康","けんこう","na-adj/n","건강","japanese_to_meaning","2"
"建設","けんせつ","n/v","건설","reading","2"
"建設","けんせつ","n/v","건설","meaning_to_japanese","2"
"建設","けんせつ","n/v","건설","japanese_to_meaning","2"
"喧嘩","けんか","n/v","싸움","reading","2"
"喧嘩","けんか","n/v","싸움","meaning_to_japanese","2"
"喧嘩","けんか","n/v","싸움","japanese_to_meaning","2"
"権利","けんり","n","권리","reading","2"
"権利","けんり","n","권리","meaning_to_japanese","2"
"権利","けんり","n","권리","japanese_to_meaning","2"
"公園","こうえん","n","공원","reading","2"
"公園","こうえん","n","공원","meaning_to_japanese","2"
"公園","こうえん","n","공원","japanese_to_meaning","2"
"工業","こうぎょう","n","공업","reading","2"
"工業","こうぎょう","n","공업","meaning_to_japanese","2"
"工業","こうぎょう","n","공업","japanese_to_meaning","2"
"講義","こうぎ","n","강의","reading","2"
"講義","こうぎ","n","강의","meaning_to_japanese","2"
"講義","こうぎ","n","강의","japanese_to_meaning","2"
"交差点","こうさてん","n","교차로","reading","2"
"交差点","こうさてん","n","교차로","meaning_to_japanese","2"
"交差点","こうさてん","n","교차로","japanese_to_meaning","2"
"高校","こうこう","n","고등학교","reading","2"
"高校","こうこう","n","고등학교","meaning_to_japanese","2"
"高校","こうこう","n","고등학교","japanese_to_meaning","2"
"工場","こうじょう","n","공장","reading","2"
"工場","こうじょう","n","공장","meaning_to_japanese","2"
"工場","こうじょう","n","공장","japanese_to_meaning","2"
"紅茶","こうちゃ","n","홍차","reading","2"
"紅茶","こうちゃ","n","홍차","meaning_to_japanese","2"
"紅茶","こうちゃ","n","홍차","japanese_to_meaning","2"
"交通","こうつう","n","교통","reading","2"
"交通","こうつう","n","교통","meaning_to_japanese","2"
"交通","こうつう","n","교통","japanese_to_meaning","2"
"行動","こうどう","n/v","행동","reading","2"
"行動","こうどう","n/v","행동","meaning_to_japanese","2"
"行動","こうどう","n/v","행동","japanese_to_meaning","2"
"効果","こうか","n","효과","reading","2"
"効果","こうか","n","효과","meaning_to_japanese","2"
"効果","こうか","n","효과","japanese_to_meaning","2"
"氷","こおり","n","얼음","reading","1"
"氷","こおり","n","얼음","meaning_to_japanese","1"
"氷","こおり","n","얼음","japanese_to_meaning","1"
"声","こえ","n","목소리","reading","1"
"声","こえ","n","목소리","meaning_to_japanese","1"
"声","こえ","n","목소리","japanese_to_meaning","1"
"コート","","n","코트","meaning_to_japanese","2"
"コート","","n","코트","japanese_to_meaning","2"
"コーヒー","","n","커피","meaning_to_japanese","2"
"コーヒー","","n","커피","japanese_to_meaning","2"
"国際","こくさい","n","국제","reading","2"
"国際","こくさい","n","국제","meaning_to_japanese","2"
"国際","こくさい","n","국제","japanese_to_meaning","2"
"国民","こくみん","n","국민","reading","2"
"国民","こくみん","n","국민","meaning_to_japanese","2"
"国民","こくみん","n","국민","japanese_to_meaning","2"
"ここ","","pron","여기","meaning_to_japanese","2"
"ここ","","pron","여기","japanese_to_meaning","2"
"心","こころ","n","마음","reading","1"
"心","こころ","n","마음","meaning_to_japanese","1"
"心","こころ","n","마음","japanese_to_meaning","1"
"午後","ごご","n","오후","reading","2"
"午後","ごご","n","오후","meaning_to_japanese","2"
"午後","ごご","n","오후","japanese_to_meaning","2"
"午前","ごぜん","n","오전","reading","2"
"午前","ごぜん","n","오전","meaning_to_japanese","2"
"午前","ごぜん","n","오전","japanese_to_meaning","2"
"個人","こじん","n","개인","reading","2"
"個人","こじん","n","개인","meaning_to_japanese","2"
"個人","こじん","n","개인","japanese_to_meaning","2"
"越す","こす","v","넘다","reading","2"
"越す","こす","v","넘다","meaning_to_japanese","2"
"越す","こす","v","넘다","japanese_to_meaning","2"
"答え","こたえ","n","답","reading","2"
"答え","こたえ","n","답","meaning_to_japanese","2"
"答え","こたえ","n","답","japanese_to_meaning","2"
"答える","こたえる","v","대답하다","reading","3"
"答える","こたえる","v","대답하다","meaning_to_japanese","3"
"答える","こたえる","v","대답하다","japanese_to_meaning","3"
"こちら","","pron","이쪽","meaning_to_japanese","2"
"こちら","","pron","이쪽","japanese_to_meaning","2"
"国","こっか","n","국가","reading","1"
"国","こっか","n","국가","meaning_to_japanese","1"
"国","こっか","n","국가","japanese_to_meaning","1"
"子供","こども","n","아이","reading","2"
"子供","こども","n","아이","meaning_to_japanese","2"
"子供","こども","n","아이","japanese_to_meaning","2"
"言葉","ことば","n","말, 언어","reading","2"
"言葉","ことば","n","말, 언어","meaning_to_japanese","2"
"言葉","ことば","n","말, 언어","japanese_to_meaning","2"
"事","こと","n","일, 것","reading","2"
"事","こと","n","일, 것","meaning_to_japanese","2"
"事","こと","n","일, 것","japanese_to_meaning","2"
"今年","ことし","n","올해","reading","2"
"今年","ことし","n","올해","meaning_to_japanese","2"
"今年","ことし","n","올해","japanese_to_meaning","2"
"断る","ことわる","v","거절하다","reading","2"
"断る","ことわる","v","거절하다","meaning_to_japanese","2"
"断る","ことわる","v","거절하다","japanese_to_meaning","2"
"この","","det","이","meaning_to_japanese","2"
"この","","det","이","japanese_to_meaning","2"
"好み","このみ","n","취향","reading","2"
"好み","このみ","n","취향","meaning_to_japanese","2"
"好み","このみ","n","취향","japanese_to_meaning","2"
"コピー","","n/v","복사","meaning_to_japanese","2"
"コピー","","n/v","복사","japanese_to_meaning","2"
"コップ","","n","컵","meaning_to_japanese","2"
"コップ","","n","컵","japanese_to_meaning","2"
"困る","こまる","v","곤란하다","reading","2"
"困る","こまる","v","곤란하다","meaning_to_japanese","2"
"困る","こまる","v","곤란하다","japanese_to_meaning","2"
"込む","こむ","v","붐비다","reading","2"
"込む","こむ","v","붐비다","meaning_to_japanese","2"
"込む","こむ","v","붐비다","japanese_to_meaning","2"
"米","こめ","n","쌀","reading","1"
"米","こめ","n","쌀","meaning_to_japanese","1"
"米","こめ","n","쌀","japanese_to_meaning","1"
"これ","","pron","이것","meaning_to_japanese","2"
"これ","","pron","이것","japanese_to_meaning","2"
"殺す","ころす","v","죽이다","reading","2"
"殺す","ころす","v","죽이다","meaning_to_japanese","2"
"殺す","ころす","v","죽이다","japanese_to_meaning","2"
"転ぶ","ころぶ","v","넘어지다","reading","2"
"転ぶ","ころぶ","v","넘어지다","meaning_to_japanese","2"
"転ぶ","ころぶ","v","넘어지다","japanese_to_meaning","2"
"怖い","こわい","i-adj","무섭다","reading","2"
"怖い","こわい","i-adj","무섭다","meaning_to_japanese","2"
"怖い","こわい","i-adj","무섭다","japanese_to_meaning","2"
"壊す","こわす","v","부수다","reading","2"
"壊す","こわす","v","부수다","meaning_to_japanese","2"
"壊す","こわす","v","부수다","japanese_to_meaning","2"
"壊れる","こわれる","v","부서지다","reading","3"
"壊れる","こわれる","v","부서지다","meaning_to_japanese","3"
"壊れる","こわれる","v","부서지다","japanese_to_meaning","3"
"今度","こんど","n","이번, 다음에","reading","2"
"今度","こんど","n","이번, 다음에","meaning_to_japanese","2"
"今度","こんど","n","이번, 다음에","japanese_to_meaning","2"
"今晩","こんばん","n","오늘밤","reading","2"
"今晩","こんばん","n","오늘밤","meaning_to_japanese","2"
"今晩","こんばん","n","오늘밤","japanese_to_meaning","2"
"今月","こんげつ","n","이번 달","reading","2"
"今月","こんげつ","n","이번 달","meaning_to_japanese","2"
"今月","こんげつ","n","이번 달","japanese_to_meaning","2"
"今週","こんしゅう","n","이번 주","reading","2"
"今週","こんしゅう","n","이번 주","meaning_to_japanese","2"
"今週","こんしゅう","n","이번 주","japanese_to_meaning","2"
"混雑","こんざつ","n/v","혼잡","reading","2"
"混雑","こんざつ","n/v","혼잡","meaning_to_japanese","2"
"混雑","こんざつ","n/v","혼잡","japanese_to_meaning","2"
"最近","さいきん","n/adv","최근","reading","2"
"最近","さいきん","n/adv","최근","meaning_to_japanese","2"
"最近","さいきん","n/adv","최근","japanese_to_meaning","2"
"最後","さいご","n","마지막","reading","2"
"最後","さいご","n","마지막","meaning_to_japanese","2"
"最後","さいご","n","마지막","japanese_to_meaning","2"
"最初","さいしょ","n","처음","reading","2"
"最初","さいしょ","n","처음","meaning_to_japanese","2"
"最初","さいしょ","n","처음","japanese_to_meaning","2"
"最中","さいちゅう","n","한창","reading","2"
"最中","さいちゅう","n","한창","meaning_to_japanese","2"
"最中","さいちゅう","n","한창","japanese_to_meaning","2"
"財布","さいふ","n","지갑","reading","2"
"財布","さいふ","n","지갑","meaning_to_japanese","2"
"財布","さいふ","n","지갑","japanese_to_meaning","2"
"魚","さかな","n","물고기","reading","1"
"魚","さかな","n","물고기","meaning_to_japanese","1"
"魚","さかな","n","물고기","japanese_to_meaning","1"
"坂","さか","n","언덕","reading","1"
"坂","さか","n","언덕","meaning_to_japanese","1"
"坂","さか","n","언덕","japanese_to_meaning","1"
"盛ん","さかん","na-adj","활발한","reading","2"
"盛ん","さかん","na-adj","활발한","meaning_to_japanese","2"
"盛ん","さかん","na-adj","활발한","japanese_to_meaning","2"
"先","さき","n","앞, 먼저","reading","2"
"先","さき","n","앞, 먼저","meaning_to_japanese","2"
"先","さき","n","앞, 먼저","japanese_to_meaning","2"
"咲く","さく","v","피다","reading","2"
"咲く","さく","v","피다","meaning_to_japanese","2"
"咲く","さく","v","피다","japanese_to_meaning","2"
"作業","さぎょう","n","작업","reading","2"
"作業","さぎょう","n","작업","meaning_to_japanese","2"
"作業","さぎょう","n","작업","japanese_to_meaning","2"
"桜","さくら","n","벚꽃","reading","1"
"桜","さくら","n","벚꽃","meaning_to_japanese","1"
"桜","さくら","n","벚꽃","japanese_to_meaning","1"
"酒","さけ","n","술","reading","1"
"酒","さけ","n","술","meaning_to_japanese","1"
"酒","さけ","n","술","japanese_to_meaning","1"
"叫ぶ","さけぶ","v","외치다","reading","2"
"叫ぶ","さけぶ","v","외치다","meaning_to_japanese","2"
"叫ぶ","さけぶ","v","외치다","japanese_to_meaning","2"
"避ける","さける","v","피하다","reading","2"
"避ける","さける","v","피하다","meaning_to_japanese","2"
"避ける","さける","v","피하다","japanese_to_meaning","2"
"差す","さす","v","꽂다, 펴다","reading","2"
"差す","さす","v","꽂다, 펴다","meaning_to_japanese","2"
"差す","さす","v","꽂다, 펴다","japanese_to_meaning","2"
"刺す","さす","v","찌르다","reading","2"
"刺す","さす","v","찌르다","meaning_to_japanese","2"
"刺す","さす","v","찌르다","japanese_to_meaning","2"
"雑誌","ざっし","n","잡지","reading","2"
"雑誌","ざっし","n","잡지","meaning_to_japanese","2"
"雑誌","ざっし","n","잡지","japanese_to_meaning","2"
"砂糖","さとう","n","설탕","reading","2"
"砂糖","さとう","n","설탕","meaning_to_japanese","2"
"砂糖","さとう","n","설탕","japanese_to_meaning","2"
"寂しい","さびしい","i-adj","외롭다","reading","2"
"寂しい","さびしい","i-adj","외롭다","meaning_to_japanese","2"
"寂しい","さびしい","i-adj","외롭다","japanese_to_meaning","2"
"様々","さまざま","na-adj","다양한","reading","2"
"様々","さまざま","na-adj","다양한","meaning_to_japanese","2"
"様々","さまざま","na-adj","다양한","japanese_to_meaning","2"
"冷める","さめる","v","식다","reading","2"
"冷める","さめる","v","식다","meaning_to_japanese","2"
"冷める","さめる","v","식다","japanese_to_meaning","2"
"寒い","さむい","i-adj","춥다","reading","2"
"寒い","さむい","i-adj","춥다","meaning_to_japanese","2"
"寒い","さむい","i-adj","춥다","japanese_to_meaning","2"
"皿","さら","n","접시","reading","1"
"皿","さら","n","접시","meaning_to_japanese","1"
"皿","さら","n","접시","japanese_to_meaning","1"
"さ来年","さらいねん","n","내후년","reading","2"
"さ来年","さらいねん","n","내후년","meaning_to_japanese","2"
"さ来年","さらいねん","n","내후년","japanese_to_meaning","2"
"去る","さる","v","떠나다","reading","2"
"去る","さる","v","떠나다","meaning_to_japanese","2"
"去る","さる","v","떠나다","japanese_to_meaning","2"
"騒ぐ","さわぐ","v","시끄럽게 하다","reading","2"
"騒ぐ","さわぐ","v","시끄럽게 하다","meaning_to_japanese","2"
"騒ぐ","さわぐ","v","시끄럽게 하다","japanese_to_meaning","2"
"爽やか","さわやか","na-adj","상쾌한","reading","2"
"爽やか","さわやか","na-adj","상쾌한","meaning_to_japanese","2"
"爽やか","さわやか","na-adj","상쾌한","japanese_to_meaning","2"
"触る","さわる","v","만지다","reading","2"
"触る","さわる","v","만지다","meaning_to_japanese","2"
"触る","さわる","v","만지다","japanese_to_meaning","2"
"三","さん","num","셋, 삼","reading","2"
"三","さん","num","셋, 삼","meaning_to_japanese","2"
"三","さん","num","셋, 삼","japanese_to_meaning","2"
"産業","さんぎょう","n","산업","reading","2"
"産業","さんぎょう","n","산업","meaning_to_japanese","2"
"産業","さんぎょう","n","산업","japanese_to_meaning","2"
"散歩","さんぽ","n/v","산책","reading","2"
"散歩","さんぽ","n/v","산책","meaning_to_japanese","2"
"散歩","さんぽ","n/v","산책","japanese_to_meaning","2"
"参加","さんか","n/v","참가","reading","2"
"参加","さんか","n/v","참가","meaning_to_japanese","2"
"参加","さんか","n/v","참가","japanese_to_meaning","2"
"賛成","さんせい","n/v","찬성","reading","2"
"賛成","さんせい","n/v","찬성","meaning_to_japanese","2"
"賛成","さんせい","n/v","찬성","japanese_to_meaning","2"
"四","し","num","넷, 사","reading","2"
"四","し","num","넷, 사","meaning_to_japanese","2"
"四","し","num","넷, 사","japanese_to_meaning","2"
"幸せ","しあわせ","na-adj/n","행복한","reading","2"
"幸せ","しあわせ","na-adj/n","행복한","meaning_to_japanese","2"
"幸せ","しあわせ","na-adj/n","행복한","japanese_to_meaning","2"
"塩","しお","n","소금","reading","1"
"塩","しお","n","소금","meaning_to_japanese","1"
"塩","しお","n","소금","japanese_to_meaning","1"
"しかし","","conj","그러나","meaning_to_japanese","2"
"しかし","","conj","그러나","japanese_to_meaning","2"
"仕方","しかた","n","방법","reading","2"
"仕方","しかた","n","방법","meaning_to_japanese","2"
"仕方","しかた","n","방법","japanese_to_meaning","2"
"資格","しかく","n","자격","reading","2"
"資格","しかく","n","자격","meaning_to_japanese","2"
"資格","しかく","n","자격","japanese_to_meaning","2"
"事故","じこ","n","사고","reading","2"
"事故","じこ","n","사고","meaning_to_japanese","2"
"事故","じこ","n","사고","japanese_to_meaning","2"
"時刻","じこく","n","시각","reading","2"
"時刻","じこく","n","시각","meaning_to_japanese","2"
"時刻","じこく","n","시각","japanese_to_meaning","2"
"試合","しあい","n","경기","reading","2"
"試合","しあい","n","경기","meaning_to_japanese","2"
"試合","しあい","n","경기","japanese_to_meaning","2"
"自然","しぜん","n","자연","reading","2"
"自然","しぜん","n","자연","meaning_to_japanese","2"
"自然","しぜん","n","자연","japanese_to_meaning","2"
"試験","しけん","n","시험","reading","2"
"試験","しけん","n","시험","meaning_to_japanese","2"
"試験","しけん","n","시험","japanese_to_meaning","2"
"仕事","しごと","n","일","reading","2"
"仕事","しごと","n","일","meaning_to_japanese","2"
"仕事","しごと","n","일","japanese_to_meaning","2"
"支持","しじ","n/v","지지","reading","2"
"支持","しじ","n/v","지지","meaning_to_japanese","2"
"支持","しじ","n/v","지지","japanese_to_meaning","2"
"辞書","じしょ","n","사전","reading","2"
"辞書","じしょ","n","사전","meaning_to_japanese","2"
"辞書","じしょ","n","사전","japanese_to_meaning","2"
"静か","しずか","na-adj","조용한","reading","2"
"静か","しずか","na-adj","조용한","meaning_to_japanese","2"
"静か","しずか","na-adj","조용한","japanese_to_meaning","2"
"下","した","n","아래","reading","1"
"下","した","n","아래","meaning_to_japanese","1"
"下","した","n","아래","japanese_to_meaning","1"
"親しい","したしい","i-adj","친한","reading","2"
"親しい","したしい","i-adj","친한","meaning_to_japanese","2"
"親しい","したしい","i-adj","친한","japanese_to_meaning","2"
"舌","した","n","혀","reading","1"
"舌","した","n","혀","meaning_to_japanese","1"
"舌","した","n","혀","japanese_to_meaning","1"
"質問","しつもん","n/v","질문","reading","2"
"質問","しつもん","n/v","질문","meaning_to_japanese","2"
"質問","しつもん","n/v","질문","japanese_to_meaning","2"
"失敗","しっぱい","n/v","실패","reading","2"
"失敗","しっぱい","n/v","실패","meaning_to_japanese","2"
"失敗","しっぱい","n/v","실패","japanese_to_meaning","2"
"失礼","しつれい","na-adj/n","실례","reading","2"
"失礼","しつれい","na-adj/n","실례","meaning_to_japanese","2"
"失礼","しつれい","na-adj/n","실례","japanese_to_meaning","2"
"自転車","じてんしゃ","n","자전거","reading","2"
"自転車","じてんしゃ","n","자전거","meaning_to_japanese","2"
"自転車","じてんしゃ","n","자전거","japanese_to_meaning","2"
"自動","じどう","n","자동","reading","2"
"自動","じどう","n","자동","meaning_to_japanese","2"
"自動","じどう","n","자동","japanese_to_meaning","2"
"自動車","じどうしゃ","n","자동차","reading","2"
"自動車","じどうしゃ","n","자동차","meaning_to_japanese","2"
"自動車","じどうしゃ","n","자동차","japanese_to_meaning","2"
"死ぬ","しぬ","v","죽다","reading","2"
"死ぬ","しぬ","v","죽다","meaning_to_japanese","2"
"死ぬ","しぬ","v","죽다","japanese_to_meaning","2"
"芝生","しばふ","n","잔디","reading","2"
"芝生","しばふ","n","잔디","meaning_to_japanese","2"
"芝生","しばふ","n","잔디","japanese_to_meaning","2"
"縛る","しばる","v","묶다","reading","2"
"縛る","しばる","v","묶다","meaning_to_japanese","2"
"縛る","しばる","v","묶다","japanese_to_meaning","2"
"しばらく","","adv","잠깐","meaning_to_japanese","3"
"しばらく","","adv","잠깐","japanese_to_meaning","3"
"市民","しみん","n","시민","reading","2"
"市民","しみん","n","시민","meaning_to_japanese","2"
"市民","しみん","n","시민","japanese_to_meaning","2"
"閉まる","しまる","v","닫히다","reading","3"
"閉まる","しまる","v","닫히다","meaning_to_japanese","3"
"閉まる","しまる","v","닫히다","japanese_to_meaning","3"
"閉める","しめる","v","닫다","reading","3"
"閉める","しめる","v","닫다","meaning_to_japanese","3"
"閉める","しめる","v","닫다","japanese_to_meaning","3"
"締める","しめる","v","매다","reading","3"
"締める","しめる","v","매다","meaning_to_japanese","3"
"締める","しめる","v","매다","japanese_to_meaning","3"
"示す","しめす","v","나타내다","reading","2"
"示す","しめす","v","나타내다","meaning_to_japanese","2"
"示す","しめす","v","나타내다","japanese_to_meaning","2"
"事務","じむ","n","사무","reading","2"
"事務","じむ","n","사무","meaning_to_japanese","2"
"事務","じむ","n","사무","japanese_to_meaning","2"
"社会","しゃかい","n","사회","reading","2"
"社会","しゃかい","n","사회","meaning_to_japanese","2"
"社会","しゃかい","n","사회","japanese_to_meaning","2"
"写真","しゃしん","n","사진","reading","2"
"写真","しゃしん","n","사진","meaning_to_japanese","2"
"写真","しゃしん","n","사진","japanese_to_meaning","2"
"シャツ","","n","셔츠","meaning_to_japanese","2"
"シャツ","","n","셔츠","japanese_to_meaning","2"
"シャワー","","n","샤워","meaning_to_japanese","2"
"シャワー","","n","샤워","japanese_to_meaning","2"
"自由","じゆう","na-adj/n","자유","reading","2"
"自由","じゆう","na-adj/n","자유","meaning_to_japanese","2"
"自由","じゆう","na-adj/n","자유","japanese_to_meaning","2"
"宿題","しゅくだい","n","숙제","reading","2"
"宿題","しゅくだい","n","숙제","meaning_to_japanese","2"
"宿題","しゅくだい","n","숙제","japanese_to_meaning","2"
"手術","しゅじゅつ","n/v","수술","reading","2"
"手術","しゅじゅつ","n/v","수술","meaning_to_japanese","2"
"手術","しゅじゅつ","n/v","수술","japanese_to_meaning","2"
"出身","しゅっしん","n","출신","reading","2"
"出身","しゅっしん","n","출신","meaning_to_japanese","2"
"出身","しゅっしん","n","출신","japanese_to_meaning","2"
"出席","しゅっせき","n/v","출석","reading","2"
"出席","しゅっせき","n/v","출석","meaning_to_japanese","2"
